Codmun;Sexo;0 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 anos ou mais
4125506;Masculino;10584;10836;12340;11664;11700;12533;12268;10940;9539;8012;6468;4825;3576;2187;1486;945;695
4125506;Feminino;10269;10483;11945;11636;12055;12834;12195;10928;10021;8334;6692;5508;3715;2642;1906;1068;1382
